19/03/08 04:20:18 INFO client.RMProxy: Connecting to ResourceManager at cluster-m/10.138.0.4:8032
19/03/08 04:20:18 INFO client.AHSProxy: Connecting to Application History server at cluster-m/10.138.0.4:10200
19/03/08 04:20:19 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
19/03/08 04:20:19 INFO input.FileInputFormat: Total input files to process : 74
19/03/08 04:20:19 INFO mapreduce.JobSubmitter: number of splits:74
19/03/08 04:20:20 INFO Configuration.deprecation: yarn.resourcemanager.system-metrics-publisher.enabled is deprecated. Instead, use yarn.system-metrics-publisher.enabled
19/03/08 04:20:20 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1552015636109_0002
19/03/08 04:20:20 INFO impl.YarnClientImpl: Submitted application application_1552015636109_0002
19/03/08 04:20:20 INFO mapreduce.Job: The url to track the job: http://cluster-m:8088/proxy/application_1552015636109_0002/
19/03/08 04:20:20 INFO mapreduce.Job: Running job: job_1552015636109_0002
19/03/08 04:20:28 INFO mapreduce.Job: Job job_1552015636109_0002 running in uber mode : false
19/03/08 04:28:12 INFO mapreduce.Job:  map 84% reduce 0%
19/03/08 04:28:13 INFO mapreduce.Job:  map 86% reduce 0%
19/03/08 04:28:32 INFO mapreduce.Job:  map 87% reduce 0%
19/03/08 04:28:34 INFO mapreduce.Job:  map 89% reduce 0%
19/03/08 04:28:35 INFO mapreduce.Job:  map 91% reduce 0%
19/03/08 04:28:36 INFO mapreduce.Job:  map 92% reduce 0%
19/03/08 04:28:44 INFO mapreduce.Job:  map 93% reduce 0%
19/03/08 04:28:54 INFO mapreduce.Job:  map 94% reduce 0%
19/03/08 04:29:02 INFO mapreduce.Job:  map 95% reduce 0%
19/03/08 04:29:03 INFO mapreduce.Job:  map 96% reduce 0%
19/03/08 04:29:08 INFO mapreduce.Job:  map 97% reduce 0%
19/03/08 04:29:14 INFO mapreduce.Job:  map 98% reduce 0%
19/03/08 04:29:18 INFO mapreduce.Job:  map 99% reduce 0%
19/03/08 04:29:22 INFO mapreduce.Job:  map 100% reduce 0%
19/03/08 04:29:31 INFO mapreduce.Job:  map 100% reduce 4%
19/03/08 04:29:34 INFO mapreduce.Job:  map 100% reduce 6%
19/03/08 04:29:35 INFO mapreduce.Job:  map 100% reduce 10%
19/03/08 04:29:36 INFO mapreduce.Job:  map 100% reduce 19%
19/03/08 04:29:40 INFO mapreduce.Job:  map 100% reduce 24%
19/03/08 04:29:49 INFO mapreduce.Job:  map 100% reduce 29%
19/03/08 04:29:55 INFO mapreduce.Job:  map 100% reduce 32%
19/03/08 04:30:01 INFO mapreduce.Job:  map 100% reduce 34%
19/03/08 04:30:07 INFO mapreduce.Job:  map 100% reduce 35%
19/03/08 04:30:10 INFO mapreduce.Job:  map 100% reduce 38%
19/03/08 04:30:12 INFO mapreduce.Job:  map 100% reduce 40%
19/03/08 04:30:13 INFO mapreduce.Job:  map 100% reduce 41%
19/03/08 04:30:16 INFO mapreduce.Job:  map 100% reduce 44%
19/03/08 04:30:18 INFO mapreduce.Job:  map 100% reduce 46%
19/03/08 04:30:19 INFO mapreduce.Job:  map 100% reduce 50%
19/03/08 04:30:24 INFO mapreduce.Job:  map 100% reduce 51%
19/03/08 04:30:25 INFO mapreduce.Job:  map 100% reduce 55%
19/03/08 04:30:30 INFO mapreduce.Job:  map 100% reduce 56%
19/03/08 04:30:31 INFO mapreduce.Job:  map 100% reduce 57%
19/03/08 04:30:32 INFO mapreduce.Job:  map 100% reduce 62%
19/03/08 04:30:34 INFO mapreduce.Job:  map 100% reduce 63%
19/03/08 04:30:36 INFO mapreduce.Job:  map 100% reduce 64%
19/03/08 04:30:39 INFO mapreduce.Job:  map 100% reduce 65%
19/03/08 04:30:43 INFO mapreduce.Job:  map 100% reduce 66%
19/03/08 04:30:45 INFO mapreduce.Job:  map 100% reduce 67%
19/03/08 04:30:47 INFO mapreduce.Job:  map 100% reduce 68%
19/03/08 04:30:49 INFO mapreduce.Job:  map 100% reduce 69%
19/03/08 04:30:51 INFO mapreduce.Job:  map 100% reduce 70%
19/03/08 04:30:53 INFO mapreduce.Job:  map 100% reduce 71%
19/03/08 04:30:57 INFO mapreduce.Job:  map 100% reduce 72%
19/03/08 04:31:03 INFO mapreduce.Job:  map 100% reduce 73%
19/03/08 04:31:07 INFO mapreduce.Job:  map 100% reduce 74%
19/03/08 04:31:11 INFO mapreduce.Job:  map 100% reduce 75%
19/03/08 04:31:15 INFO mapreduce.Job:  map 100% reduce 76%
19/03/08 04:31:21 INFO mapreduce.Job:  map 100% reduce 77%
19/03/08 04:31:25 INFO mapreduce.Job:  map 100% reduce 78%
19/03/08 04:31:29 INFO mapreduce.Job:  map 100% reduce 81%
19/03/08 04:31:32 INFO mapreduce.Job:  map 100% reduce 82%
19/03/08 04:31:35 INFO mapreduce.Job:  map 100% reduce 84%
19/03/08 04:31:39 INFO mapreduce.Job:  map 100% reduce 85%
19/03/08 04:31:43 INFO mapreduce.Job:  map 100% reduce 86%
19/03/08 04:31:47 INFO mapreduce.Job:  map 100% reduce 87%
19/03/08 04:31:53 INFO mapreduce.Job:  map 100% reduce 88%
19/03/08 04:31:57 INFO mapreduce.Job:  map 100% reduce 89%
19/03/08 04:32:01 INFO mapreduce.Job:  map 100% reduce 90%
19/03/08 04:32:05 INFO mapreduce.Job:  map 100% reduce 91%
19/03/08 04:32:09 INFO mapreduce.Job:  map 100% reduce 92%
19/03/08 04:32:14 INFO mapreduce.Job:  map 100% reduce 93%
19/03/08 04:32:20 INFO mapreduce.Job:  map 100% reduce 94%
19/03/08 04:32:29 INFO mapreduce.Job:  map 100% reduce 95%
19/03/08 04:32:37 INFO mapreduce.Job:  map 100% reduce 96%
19/03/08 04:32:49 INFO mapreduce.Job:  map 100% reduce 97%
19/03/08 04:33:11 INFO mapreduce.Job:  map 100% reduce 98%
19/03/08 04:33:42 INFO mapreduce.Job:  map 100% reduce 99%
19/03/08 04:34:06 INFO mapreduce.Job:  map 100% reduce 100%
19/03/08 04:34:17 INFO mapreduce.Job: Job job_1552015636109_0002 completed successfully
19/03/08 04:34:17 INFO mapreduce.Job: Counters: 56
	File System Counters
		FILE: Number of bytes read=19799807829
		FILE: Number of bytes written=30133704020
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=3358558058
		GS: Number of bytes written=91426620
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=10952
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=74
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=75
		Launched reduce tasks=9
		Rack-local map tasks=75
		Total time spent by all maps in occupied slots (ms)=16349096
		Total time spent by all reduces in occupied slots (ms)=6920892
		Total time spent by all map tasks (ms)=4087274
		Total time spent by all reduce tasks (ms)=1730223
		Total vcore-milliseconds taken by all map tasks=4087274
		Total vcore-milliseconds taken by all reduce tasks=1730223
		Total megabyte-milliseconds taken by all map tasks=8370737152
		Total megabyte-milliseconds taken by all reduce tasks=3543496704
	Map-Reduce Framework
		Map input records=74
		Map output records=542247078
		Map output bytes=9234211755
		Map output materialized bytes=10318709463
		Input split bytes=10952
		Combine input records=0
		Combine output records=0
		Reduce input groups=1076757
		Reduce shuffle bytes=10318709463
		Reduce input records=542247078
		Reduce output records=1076757
		Spilled Records=1582634577
		Shuffled Maps =592
		Failed Shuffles=0
		Merged Map outputs=592
		GC time elapsed (ms)=132709
		CPU time spent (ms)=3436080
		Physical memory (bytes) snapshot=114268323840
		Virtual memory (bytes) snapshot=288176107520
		Total committed heap usage (bytes)=106201350144
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=3358558058
	File Output Format Counters 
		Bytes Written=91426620
Job output is complete
